id,zone,state,city,name,type,year,time_hr,rating,fee,airport_50km,weekly_off,significance,best_daytime,area
1,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,1,,Historical,Evening,
2,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,1,,Historical,Afternoon,
3,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,1,,Religious,Afternoon,
4,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,1,Monday,Environmental,Evening,
5,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,1,,Scientific,Morning,
6,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,1,Sunday,Market,Afternoon,
7,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,1,Monday,Religious,Evening,
8,Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,1,,Historical,Afternoon,
9,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,1,,Historical,Afternoon,
10,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,1,,Botanical,Afternoon,
11,Northern,Delhi,Delhi,Garden of Five Senses,Park,2003,2.0,4.1,35,1,,Botanical,Morning,
12,Northern,Delhi,Delhi,Lodhi Garden,Park,1500,1.0,4.5,0,1,,Botanical,,
13,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,1954,3.0,4.5,20,1,Monday,Artistic,,
14,Northern,Delhi,Delhi,National Zoological Park,Zoo,1959,3.0,4.1,80,1,Friday,Environmental,,
15,Northern,Delhi,Delhi,Qutub Minar,Monument,1192,1.0,4.5,35,1,,Historical,Afternoon,
16,Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,1,,Scientific,,
17,Western,Maharastra,Mumbai,Marine Drive,Promenade,,2.0,4.5,0,1,,Scenic,Evening,
18,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,1,,Historical,,
19,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1922,1.0,4.6,500,1,,Historical,,
20,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,1996,3.0,4.3,50,1,Monday,Wildlife,,
21,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,1881,2.0,4.8,0,1,,Religious,,
22,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1831,1.0,4.7,0,1,,Religious,,
23,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,1431,2.0,4.4,0,1,,Religious,,
24,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,,2.0,4.3,0,1,,Recreational,Evening,
25,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,1,,Recreational,,
